method,expnum,time,clusters,score
Classic-DBSCAN,9.0,14.497161626815796,5.0,0.13687112803190507
Classic-KMeans,9.0,39.040446758270264,5.0,0.5983837901058155
Classic-SOM,9.0,5.96278977394104,15.0,0.5604382166037323
Classic-Spectral,9.0,51.012317419052124,8.0,0.4704463734655582
Isomap-DBSCAN,9.0,472.9113781452179,44.0,0.3798720449135524
Isomap-KMEans,9.0,471.53815364837646,5.0,0.7029734079298323
Isomap-SOM,9.0,531.7027711868286,4.0,0.6925158404267798
Spectral-DBSCAN,9.0,589.8195397853851,74.0,0.06870448664947941
Spectral-KMEans,9.0,0.0,4.0,0.7560891758277757
Spectral-SOM,9.0,601.1398198604584,3.0,0.5777084431523729
TSNE-KMEans,9.0,0.0,6.0,0.3615982234477997
TSne-DBSCAN,9.0,544.2571721076965,401.0,0.07093853503465652
TSne-SOM,9.0,577.715550661087,4.0,0.35301199555397034
UMAP-DBSCAN,9.0,507.845116853714,216.0,-0.4316367208957672
UMAP-KMEans,9.0,450.0766589641571,7.0,0.35289672017097473
UMAP-SOM,9.0,468.52841305732727,4.0,0.3220881223678589
